STATE,IBGE_RES_POP,IBGE_RES_POP_BRAS,IBGE_DU,IBGE_DU_URBAN,IBGE_DU_RURAL,IBGE_POP,IBGE_1,IBGE_1-4,IBGE_5-9,IBGE_10-14,IBGE_15-59,IBGE_60+,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM,LONG,LAT,ALT,PAY_TV,FIXED_PHONES,AREA,CATEGORIA_TUR,ESTIMATED_POP,RURAL_URBAN,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,GVA_TOTAL,TAXES,GDP,POP_GDP,GDP_CAPITA,GVA_MAIN,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
4,6453,6453,1957,1604,353,5293,61,294,384,531,3311,712,7889,19713,0.602,-39.4733,-14.8098,146.3835,312,278,201.585,0,5743,3,16259,2547,14698,24444,57948,2191,60139,6367,9445.0,1,33,1,0,0,0,0,21,0,0,0,0,2,2,0,2,0,5,0,0,0,0,0,0,275,197,0,0,0,0,1
1,7030,7030,1814,323,1491,1166,23,73,120,131,701,118,210,551,0.517,-37.2784,-9.827,20.7941,87,54,335.047,5,6696,3,18666,9448,9781,27066,64961,786,65747,6786,9689.0,1,19,0,0,0,0,0,4,0,1,0,1,1,2,1,0,0,8,0,0,0,0,0,0,178,427,0,0,0,0,1
9,6524,6524,1277,647,630,3229,87,366,421,505,1687,163,2253,4469,0.512,-43.5101,-3.1568,64.5624,167,8,569.428,0,7409,3,5023,1894,8348,25214,40479,1109,41589,7350,5658.0,1,18,0,0,0,0,1,8,0,0,0,0,2,2,0,0,0,5,0,0,0,0,0,0,74,271,0,0,0,0,1
1,4551,4551,1308,533,775,2340,36,146,211,255,1411,281,303,514,0.593,-36.4945,-9.5686,319.517,36,30,66.655,5,4406,3,8395,534,7766,18988,35683,619,36303,4517,8037.0,1,26,0,0,0,0,0,14,2,0,0,1,2,1,1,0,0,4,0,0,0,0,0,0,328,654,0,0,0,0,1
16,3284,3284,933,498,435,1603,36,120,139,143,1008,157,2733,1102,0.551,-40.9703,-7.3701,342.9671,2,17,243.531,5,3544,3,1612,1330,5397,15491,23831,1009,24840,3485,7128.0,1,38,1,0,0,0,4,20,0,2,0,0,1,2,1,0,0,4,0,0,0,0,0,0,162,209,0,0,0,0,1
22,2307,2305,427,125,302,339,4,12,19,22,203,79,2667,8841,0.619,-52.6022,-27.5086,760.91,12,97,132.351,0,2031,3,11410,1381,5797,11995,30584,902,31486,2245,14025.0,1,40,0,0,1,0,0,14,5,0,0,0,0,1,6,1,0,12,0,0,0,0,0,0,511,203,0,0,0,0,1
19,5113,5113,1311,591,720,2060,29,106,218,215,1257,235,253,887,0.582,-35.8217,-5.6924,125.0011,64,55,301.069,0,5469,3,3624,1194,6715,28056,39589,986,40575,5493,7387.0,1,30,1,0,1,0,1,8,0,1,0,0,3,2,0,1,0,12,0,0,0,0,0,0,441,631,0,0,0,0,1
9,5996,5992,1508,615,893,2321,37,159,209,221,1428,267,1637,2859,0.604,-44.7643,-4.6303,52.215,16,18,247.221,0,6011,3,15250,2951,11585,18288,48075,1562,49636,5938,8359.0,1,38,0,0,1,0,3,22,0,1,0,1,1,1,3,0,0,5,0,0,0,0,0,0,127,1260,0,0,0,0,1
26,4456,4456,1350,678,672,2173,32,175,193,245,1328,200,580,10326,0.638,-48.8991,-7.8685,163.731,49,90,926.888,0,4469,3,27303,3553,11393,28720,70969,4561,75530,4525,16692.0,1,33,2,0,2,0,0,19,0,0,0,2,2,3,0,1,0,2,0,0,0,0,0,0,257,1057,0,0,0,0,1
10,3793,3793,1209,500,709,1497,13,52,100,132,897,303,119,207,0.62,-43.7566,-21.6087,773.9667,156,203,283.535,5,3430,3,5969,1060,7877,16426,31331,938,32270,3648,8846.0,1,23,2,0,2,0,0,10,0,0,0,0,1,3,2,0,0,3,0,0,0,0,0,0,572,343,0,0,0,0,1
14,5751,5751,1496,984,512,3518,53,224,267,298,2191,485,360,252,0.599,-38.219,-7.4223,310.7524,18,35,170.58,0,5423,3,2494,1094,8816,25102,37507,1377,38884,5410,7187.0,1,49,0,0,6,0,0,21,1,1,0,0,1,2,2,0,0,15,0,0,0,0,0,0,254,776,0,0,0,0,1
9,7949,7949,1832,1289,543,5583,123,557,756,763,2994,390,375,635,0.545,-46.2987,-1.7933,18.4052,159,90,404.239,0,9158,3,4804,2224,21170,24025,52223,3796,56020,9164,6113.0,1,37,0,0,2,0,1,31,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,131,309,0,0,0,0,1
14,2400,2400,699,305,394,988,13,60,85,95,589,146,185,88,0.597,-38.6551,-6.818,320.7095,11,15,46.169,0,2547,3,1583,1080,6326,15384,24373,966,25340,2550,9937.0,1,22,1,0,2,0,0,10,0,0,0,0,0,3,1,0,0,5,0,0,0,0,0,0,175,329,0,0,0,0,1
4,10113,10113,2626,801,1825,2766,50,191,268,265,1692,300,378,195,0.546,-40.5012,-14.3729,642.0004,19,56,467.813,0,9942,3,3902,2726,12406,31559,50593,1700,52293,10515,4973.0,1,43,0,0,1,0,1,24,0,0,0,1,1,1,1,1,0,12,0,0,0,0,0,0,434,326,0,0,0,0,1
16,5393,5393,1519,480,1039,1632,24,112,145,166,1015,170,2148,98,0.542,-42.8797,-9.1666,409.6708,101,20,289.209,0,5654,3,1468,1225,8919,22490,34101,1680,35781,5564,6431.0,1,24,0,0,0,0,0,15,1,1,0,0,0,3,1,1,0,2,0,0,0,0,0,0,151,618,0,0,0,0,1
26,2064,2064,610,416,194,1433,33,85,161,140,873,141,507,192,0.684,-48.4854,-8.3849,217.7369,23,102,641.467,0,2191,3,8157,849,11369,15778,36153,3356,39509,2188,18057.0,1,15,1,0,1,0,1,7,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,167,308,0,0,0,0,1
9,5577,5577,1280,681,599,2843,43,210,351,394,1629,216,1210,1684,0.519,-45.5821,-4.3306,85.2887,75,13,986.036,0,9367,3,14685,2322,12962,30673,60643,1533,62176,10444,5953.0,1,14,0,0,0,0,0,11,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,51,1108,0,0,0,0,1
